bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1239829,ME,LD1306,"Resolve, To Examine Issues Relating to Bullying in Schools",2019-03-19,S,"FINALLY PASSED, in concurrence.",2019-05-28,https://legiscan.com/ME/text/LD1306/id/2035016
1487139,ME,LD1240,"Resolve, To Review Barriers to Regional Solutions for Housing Choices",2021-03-23,S,"FINALLY PASSED, in concurrence.",2022-04-25,https://legiscan.com/ME/text/LD1240/id/2581856
1503298,ME,LD1616,"An Act To Ensure That Municipalities and Multimunicipal Regions of Every Size and Capacity Have Guidance on Climate Adaptation and Resilience Strategies for Policy, Implementation and Investment Decision Support",2021-04-28,H,Placed in Legislative Files (DEAD),2022-04-14,https://legiscan.com/ME/text/LD1616/id/2380632
1437114,ME,LD318,"Resolve, To Direct the Office of the Public Advocate To Study Reforming Maine's System of Retail Electricity Supply To Provide More Options to Maine Customers and Support Maine's Climate Goals",2021-02-04,H,"FINALLY PASSED, in concurrence.",2022-04-14,https://legiscan.com/ME/text/LD318/id/2573393
525243,ME,LD927,An Act To Further Energy Independence for the State,2013-03-07,H,"TAKEN from the Table by Senator CAIN of Penobscot. PASSED TO BE ENACTED , in concurrence.",2013-06-27,https://legiscan.com/ME/text/LD927/id/872590
1473646,ME,LD907,An Act Concerning State Pension Funds and Climate Change,2021-03-10,H,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),2022-03-24,https://legiscan.com/ME/text/LD907/id/2323060
1510515,ME,LD1727,An Act Concerning Sexual Misconduct on College Campuses,2021-05-19,S,"PASSED TO BE ENACTED, in concurrence.",2022-04-25,https://legiscan.com/ME/text/LD1727/id/2580465
1473218,ME,LD901,An Act To Assist Maine Residents Negatively Affected by Climate Change,2021-03-10,H,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),2021-06-02,https://legiscan.com/ME/text/LD901/id/2322659
1257236,ME,LD1698,An Act To Create Jobs and Slow Climate Change by Promoting the Production of Natural Resources Bioproducts,2019-05-08,H,Subsequently PASSED TO BE ENACTED in concurrence,2020-03-17,https://legiscan.com/ME/text/LD1698/id/2174277
1506163,ME,LD1682,An Act To Require Consideration of Climate Impacts by the Public Utilities Commission and To Incorporate Equity Considerations in Decision Making by State Agencies,2021-05-04,H,"PASSED TO BE ENACTED, in concurrence.",2021-06-15,https://legiscan.com/ME/text/LD1682/id/2418543
1474630,ME,LD983,"An Act To Authorize a General Fund Bond Issue To Promote Land Conservation, Working Waterfronts, Water Access and Outdoor Recreation",2021-03-10,S,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),2022-03-22,https://legiscan.com/ME/text/LD983/id/2324704
268497,ME,LD553,An Act To Improve Maine's Energy Security,2011-02-15,,(S) Under suspension of the Rules PASSED TO BE ENACTED in concurrence,2011-06-09,https://legiscan.com/ME/text/LD553/id/343555
1437421,ME,LD347,An Act To Facilitate Maine's Climate Goals by Encouraging Use of Electric Vehicles,2021-02-04,H,"PASSED TO BE ENACTED, in concurrence.",2021-06-30,https://legiscan.com/ME/text/LD347/id/2422951
1273364,ME,LD1851,"An Act To Authorize a General Fund Bond Issue for Land Conservation, Water Access, Outdoor Recreation, Wildlife and Fish Habitats and Farmland and Working Waterfront Preservation",2019-08-26,S,Placed in Legislative Files (DEAD),2019-08-26,https://legiscan.com/ME/text/LD1851/id/2050540
1581770,ME,LD1959,An Act Regarding Utility Accountability and Grid Planning for Maine's Clean Energy Future,2022-02-03,S,On motion by Senator POULIOT of Kennebec Roll Call Ordered Roll Call Number 806 Yeas 19 - Nays 10 - Excused 5 - Absent 0,2022-04-25,https://legiscan.com/ME/text/LD1959/id/2579291
1155650,ME,LD199,An Act To Create the Water Resources Planning Committee,2019-01-22,H,"PASSED TO BE ENACTED, in concurrence.",2019-04-23,https://legiscan.com/ME/text/LD199/id/2007250
1292856,ME,LD1894,An Act To Incentivize the Purchase of Electric Public School Buses,2019-12-24,S,CARRIED OVER to any Special Session of the 129th Legislature pursuant to Joint Order SP 788.,2020-03-17,https://legiscan.com/ME/text/LD1894/id/2081020
1308002,ME,LD2055,An Act To Require State Agencies To Use Renewable and Sustainable Energy and Reduce Greenhouse Gas Emissions,2020-01-21,S,CARRIED OVER to any Special Session of the 129th Legislature pursuant to Joint Order SP 788.,2020-03-17,https://legiscan.com/ME/text/LD2055/id/2097192
413348,ME,LD1872,An Act To Change the Name of the Governor's Office of Energy Independence and Security,2012-03-13,,(S) Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),2012-03-26,https://legiscan.com/ME/text/LD1872/id/604156
1292848,ME,LD1887,"Resolve, To Reduce the Operational Costs of Ferries in the State",2019-12-24,H,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),2020-02-18,https://legiscan.com/ME/text/LD1887/id/2081012
1459891,ME,LD593,An Act To Restore Eelgrass Mapping and Enhance Salt Marsh Vegetation Mapping in the State,2021-02-22,H,"PASSED TO BE ENACTED, in concurrence.",2021-07-02,https://legiscan.com/ME/text/LD593/id/2423876
309569,ME,LD1366,"Resolve, To Clarify the Expectation for the 2012 Assessment of Progress on Meeting Wind Energy Development Goals",2011-03-30,,(S) Under suspension of the Rules FINALLY PASSED in concurrence,2011-06-15,https://legiscan.com/ME/text/LD1366/id/343009
935443,ME,LD260,An Act To Create the Maine Energy Office,2017-01-31,H,In possession of the Senate when the Senate ADJOURNED SINE DIE and PLACED IN THE LEGISLATIVE FILES (DEAD).,2018-09-13,https://legiscan.com/ME/text/LD260/id/1483911
577000,ME,LD1621,An Act To Include Natural Gas Expansion in the State Energy Plan,2013-12-30,H,"PASSED TO BE ENACTED , in concurrence.",2014-03-31,https://legiscan.com/ME/text/LD1621/id/1009865
1388065,MI,HB6520,Education: curriculum; instruction in climate change; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1164a.,2020-12-16,H,Bill Electronically Reproduced 12/17/2020,2020-12-17,https://legiscan.com/MI/text/HB6520/id/2221910
1535276,MI,SB0747,Environmental protection: other; climate resiliency corps; create. Creates new act.,2021-11-30,S,Referred To Committee On Environmental Quality,2021-11-30,https://legiscan.com/MI/text/SB0747/id/2451970
1535177,MI,HB5581,Environmental protection: other; climate resiliency corps; create. Creates new act.,2021-11-30,H,Bill Electronically Reproduced 11/30/2021,2021-12-01,https://legiscan.com/MI/text/HB5581/id/2451873
1524116,MI,HB5330,Environmental protection: groundwater contamination; funding for local governments to mitigate the impacts of climate change; provide for. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 192.,2021-09-22,H,Bill Electronically Reproduced 09/22/2021,2021-09-23,https://legiscan.com/MI/text/HB5330/id/2433852
1500628,MI,SB0363,Construction: code; advisory committees for certain building codes; create. Amends sec. 4 of 1972 PA 230 (MCL 125.1504).,2021-04-15,S,Referred To Committee On Economic And Small Business Development,2021-04-15,https://legiscan.com/MI/text/SB0363/id/2372516
1500680,MI,HB4648,Construction: code; advisory committees for certain building codes; create. Amends sec. 4 of 1972 PA 230 (MCL 125.1504).,2021-04-15,H,Bill Electronically Reproduced 04/15/2021,2021-04-20,https://legiscan.com/MI/text/HB4648/id/2372734
