bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1318929,HI,SB3100,Relating To Sustainable Development Goals.,2020-01-23,S,"Referred to LMG, FIN, referral sheet 36",2020-03-09,https://legiscan.com/HI/text/SB3100/id/2155256
1066482,HI,SB2666,Relating To Sustainable Development Goals.,2018-01-19,S,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) C. Lee, Lowen, McDermott, Souki, Tokioka excused (5).",2018-03-23,https://legiscan.com/HI/text/SB2666/id/1767996
806108,HI,HB1511,Employees' Retirement System; Investments; Coal; Study,2015-01-29,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on LAB with Representative(s) Har, Jordan, Ward voting aye with reservations; Representative(s) McDermott voting no (1) and Representative(s) Creagan, San Buenaventura, Say excused (3).",2016-02-08,https://legiscan.com/HI/text/HB1511/id/1326917
1419872,HI,HB410,Relating To Tree Planting.,2021-01-25,H,Passed Second Reading as amended in HD 1 and referred to the committee(s) on EDN/HET with Representative(s) Okimoto voting aye with reservations; none voting no (0) and Representative(s) Ohno excused (1).,2021-02-11,https://legiscan.com/HI/text/HB410/id/2287408
1163509,HI,SB698,Relating To Sustainable Development Goals.,2019-01-18,S,"Referred to LMG, FIN, referral sheet 27",2019-03-07,https://legiscan.com/HI/text/SB698/id/1934489
1539067,HI,HB410,Relating To Tree Planting.,2021-01-25,H,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/HB410/id/2456474
1290005,HI,SB698,Relating To Sustainable Development Goals.,2019-01-18,S,Carried over to 2020 Regular Session.,2019-12-01,https://legiscan.com/HI/text/SB698/id/2076832
1319173,HI,HB2643,Relating To Agricultural Inspections.,2020-01-23,H,The committee(s) on AGR recommend(s) that the measure be deferred.,2020-02-05,https://legiscan.com/HI/text/HB2643/id/2109453
1314428,HI,HB2070,Relating To Land.,2020-01-21,H,Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) McDermott excused (1).,2020-02-12,https://legiscan.com/HI/text/HB2070/id/2132079
1172885,HI,HB1483,Relating To Climate Change.,2019-01-24,H,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",2019-03-18,https://legiscan.com/HI/text/HB1483/id/1962068
1289673,HI,HB1483,Relating To Climate Change.,2019-01-24,H,Carried over to 2020 Regular Session.,2019-12-01,https://legiscan.com/HI/text/HB1483/id/2076260
1316634,HI,SB2976,Relating To Agricultural Inspections.,2020-01-23,S,The committee on AEN deferred the measure.,2020-02-10,https://legiscan.com/HI/text/SB2976/id/2106432
933404,HI,HB1580,Relating To Energy.,2017-01-25,H,"Conference Committee Meeting will reconvene on Friday, 04-28-17 at 4:15 PM in Conference Room 225.",2017-04-28,https://legiscan.com/HI/text/HB1580/id/1588387
1574024,HI,SB3325,Relating To Carbon Sequestration Incentives.,2022-01-26,S,Enrolled to Governor.,2022-05-06,https://legiscan.com/HI/text/SB3325/id/2577821
1042341,HI,HB1580,Relating To Energy.,2017-01-25,H,Received notice of discharge of conferees (Hse. Com. No. 385).,2018-03-15,https://legiscan.com/HI/text/HB1580/id/1704795
1172928,HI,HB1586,Relating To The Structure Of Government.,2019-01-24,H,"Act 268, 07/08/2019 (Gov. Msg. No. 1370).",2019-07-09,https://legiscan.com/HI/text/HB1586/id/2004220
1066588,HI,SB2667,Relating To Sustainable Development Goals.,2018-01-19,S,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) Ing, C. Lee, McKelvey, Souki, Todd, Ward excused (6).",2018-03-21,https://legiscan.com/HI/text/SB2667/id/1765547
1163303,HI,HB563,Relating To A Coal-free Hawaii.,2019-01-22,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on CPC with Representative(s) Cabanilla Arakawa, DeCoite, Har, Kong, McDermott, Okimoto, Say, Ward voting aye with reservations; none voting no (0) and Representative(s) Thielen, Tokioka excused (2).",2019-01-31,https://legiscan.com/HI/text/HB563/id/1882434
1289359,HI,HB563,Relating To A Coal-free Hawaii.,2019-01-22,H,Carried over to 2020 Regular Session.,2019-12-01,https://legiscan.com/HI/text/HB563/id/2075731
1420447,HI,SB694,Relating To Sustainable Development Goals.,2021-01-22,S,"Referred to EEP, WAL, CPC, FIN, referral sheet 22",2021-03-11,https://legiscan.com/HI/text/SB694/id/2324852
1540223,HI,SB694,Relating To Sustainable Development Goals.,2021-01-22,S,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/SB694/id/2458297
1066511,HI,SB2668,Relating To Sustainable Development Goals.,2018-01-19,S,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on EDB with none voting aye with reservations; none voting no (0) and Representative(s) DeCoite, Fukumoto, Har, Holt, Nakashima, Souki, Tokioka excused (7).",2018-03-16,https://legiscan.com/HI/text/SB2668/id/1762345
1066458,HI,SB2671,Relating To Sustainable Development Goals.,2018-01-19,S,The committee(s) on EDB recommend(s) that the measure be deferred.,2018-03-14,https://legiscan.com/HI/text/SB2671/id/1749953
187517,HI,SB1174,Motor Vehicle Emissions; California Code; Rules,2009-01-28,,Carried over to 2010 Regular Session.,2009-05-11,https://legiscan.com/HI/text/SB1174/id/420396
1569657,HI,SB2803,Relating To Climate Change.,2022-01-21,S,"Re-Referred to TRS/GVO, WAM.",2022-02-18,https://legiscan.com/HI/text/SB2803/id/2522492
1570706,HI,SB3163,Relating To The State Energy Office.,2022-01-26,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",2022-02-18,https://legiscan.com/HI/text/SB3163/id/2521963
1314766,HI,SB2534,Relating To Real Property Transactions.,2020-01-17,S,"Referred to CPH/WTL, JDC.",2020-01-23,https://legiscan.com/HI/text/SB2534/id/2104084
1069689,HI,HB2468,Relating To Environmental Protection.,2018-01-24,H,"Report adopted. referred to the committee(s) on FIN as amended in HD 2 with none voting aye with reservations; none voting no (0) and Representative(s) DeCoite, Ing, Nakamura, Onishi, Woodson excused (5).",2018-02-16,https://legiscan.com/HI/text/HB2468/id/1732454
1066518,HI,SB2670,Relating To Sustainable Development Goals.,2018-01-19,S,The committee(s) on EDB recommend(s) that the measure be deferred.,2018-03-14,https://legiscan.com/HI/text/SB2670/id/1752728
1423637,HI,HB1092,Relating To Carbon Offsets.,2021-01-27,H,"Referred to TRS/WTL, WAM.",2021-03-11,https://legiscan.com/HI/text/HB1092/id/2277858
