Bill ID,State,Legislative Session,Bill Number,Bill Title,Bill,Database URL,Date of Intro,Chamber of Origin,Sponsors,List of Status
ocd-bill/9e14ecb7-6e40-4352-a0ea-d31ff6edcb39,HI,2022 Regular Session,HB 2431,RELATING TO SUSTAINABLE FOOD SYSTEMS., ,https://openstates.org/hi/bills/2022 Regular Session/HB2431,2022-01-27 07:31:32.040086+00:00,House,"Daniel Holt, Patrick Pihana Branco, Linda Clark, Sonny Ganaden, Troy N. Hashimoto, Greggor Ilagan, Nicole E. Lowen, Scot Z. Matayoshi, Scott Y. Nishimoto, Takashi Ohno, Sean Quinlan, Gregg Takayama, David A. Tarnas, Chris Todd, Justin H. Woodson","Introduced and Pass First Reading., Referred to AGR, FIN, referral sheet 3, Bill scheduled to be heard by AGR on Wednesday, 02-09-22 10:00AM in House conference room 325 Via Videoconference."
ocd-bill/eee7f75b-1f74-4982-9355-6a99e28717c7,HI,2022 Regular Session,HB 2016,RELATING TO THE SAND ISLAND STATE RECREATION AREA.,https://capitol.hawaii.gov/Session2022/Testimony/HB2016_TESTIMONY_WAL_02-03-22_.PDF,https://openstates.org/hi/bills/2022 Regular Session/HB2016,2022-01-25 07:21:10.575242+00:00,House,"Sonny Ganaden, Della Au Belatti, Patrick Pihana Branco, Daniel Holt, Greggor Ilagan, Jeanne Kapela, Lisa Marten, Angus L.K. McKelvey, Nadine K. Nakamura, Scott Y. Nishimoto, Amy A. Perruso, Gregg Takayama, Adrian K. Tam, David A. Tarnas, Tina Wildberger","Pending introduction., Introduced and Pass First Reading., Referred to WAL, CPC, FIN, referral sheet 3, Bill scheduled to be heard by WAL on Thursday, 02-03-22 9:30AM in House conference room 430 Via Videoconference., The committees on WAL recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 7 Ayes: Representative(s) Tarnas, Branco, Ganaden, B. Kobayashi, Kong, Morikawa, Ohno; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) McDermott., Reported from WAL (Stand. Com. Rep. No. 25-22) as amended in HD 1, recommending passage on Second Reading and referral to CPC."
ocd-bill/599d27ac-c3f8-4ec4-a8a5-2d72d47f9ff8,MN,2021-2022 Regular Session,SF 1905,Pollinator lethal insecticides fee increase; pollinator research fee revenue allocation authorization, ,https://openstates.org/mn/bills/2021-2022/SF1905,2021-03-06 02:21:00.428291+00:00,Senate,"Kari Dziedzic, Ann Rest, John Marty","Introduction and first reading, Referred to Agriculture and Rural Development Finance and Policy, Author added Rest, Author added Marty"
ocd-bill/1549763a-c938-4eac-a1fd-d85f0a9e04ab,MN,2021-2022 Regular Session,SF 2904,Clean Car rules repeal, ,https://openstates.org/mn/bills/2021-2022/SF2904,2022-02-05 04:38:26.839689+00:00,Senate,Andrew Mathews,"Introduction and first reading, Referred to Environment and Natural Resources Policy and Legacy Finance"
ocd-bill/5a7259e8-11d2-4de6-893a-5363459dd8ad,WA,2021-2022 Regular Session,HB 1812,Modernizing the energy facility site evaluation council to meet the state's clean energy goals.,"http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bill%20Reports/House/1812%20HBA%20ENVI%2022.htm, http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bill%20Reports/House/1812%20HBR%20ENVI%2022.htm",https://openstates.org/wa/bills/2021-2022/HB1812,2022-01-06 20:45:37.957182+00:00,House,"Joe Fitzgibbon, Sharon Wylie, Liz Berry, Javier Valdez, Gerry Pollet, Kirsten Harris-Talley","Prefiled for introduction., First reading, referred to Environment & Energy., Public hearing in the House Committee on Environment & Energy at 10:00 AM., Public hearing in the House Committee on Environment & Energy at 8:00 AM., Executive session scheduled, but no action was taken in the House Committee on Environment & Energy at 1:30 PM., Executive session scheduled, but no action was taken in the House Committee on Environment & Energy at 8:00 AM., Executive action taken in the House Committee on Environment & Energy at 10:00 AM., ENVI - Majority; 1st substitute bill be substituted, do pass., Minority; do not pass., Referred to Appropriations., Scheduled for public hearing in the House Committee on Environment & Energy at 10:00 AM, Scheduled for public hearing in the House Committee on Environment & Energy at 08:00 AM, Scheduled for public hearing in the House Committee on Environment & Energy at 10:00 AM"
ocd-bill/5e03627f-af66-4d01-88d3-f36bbf05d7a9,WA,2021-2022 Regular Session,HB 1814,Expanding equitable access to the benefits of renewable energy through community solar projects.,"http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bill%20Reports/House/1814%20HBA%20ENVI%2022.htm, http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bill%20Reports/House/1814%20HBR%20ENVI%2022.htm",https://openstates.org/wa/bills/2021-2022/HB1814,2022-01-06 20:45:39.842608+00:00,House,"Sharon Shewmake, Liz Berry, Jessica Bateman, Davina Duerr, Nicole Macri, Alex Ramel, Dave Paul, Steve Bergquist, Joe Fitzgibbon, Gerry Pollet, Kirsten Harris-Talley, Shelley Kloba","Prefiled for introduction., First reading, referred to Environment & Energy., Public hearing in the House Committee on Environment & Energy at 10:00 AM., Executive action taken in the House Committee on Environment & Energy at 8:00 AM., ENVI - Majority; 1st substitute bill be substituted, do pass., Minority; without recommendation., Referred to Finance., Scheduled for public hearing in the House Committee on Finance at 8:00 AM (Subject to change)., Scheduled for public hearing in the House Committee on Environment & Energy at 10:00 AM, Scheduled for public hearing in the House Committee on Environment & Energy at 08:00 AM, Scheduled for public hearing in the House Committee on Finance at 08:00 AM"
ocd-bill/7b2762f7-57a6-4b0c-be89-3db674bfacfa,WA,2021-2022 Regular Session,SB 5842,Concerning state laws that address climate change., ,https://openstates.org/wa/bills/2021-2022/SB5842,2022-01-12 21:13:18.901809+00:00,Senate,"Reuven Carlyle, Marko Liias, Mona Das, Joe Nguyen, T'wina Nobles","First reading, referred to Environment, Energy & Technology., Public hearing in the Senate Committee on Environment, Energy & Technology at 8:00 AM., Executive action taken in the Senate Committee on Environment, Energy & Technology at 8:00 AM., ENET - Majority; 1st substitute bill be substituted, do pass., Minority; do not pass., And refer to Ways & Means., Referred to Ways & Means., Public hearing in the Senate Committee on Ways & Means at 9:00 AM., Scheduled for public hearing in the Senate Committee on Environment, Energy & Technology at 08:00 AM, Scheduled for public hearing in the Senate Committee on Environment, Energy & Technology at 08:00 AM, Scheduled for public hearing in the Senate Committee on Ways & Means at 09:00 AM"
ocd-bill/1fc89a23-c5c2-44fd-b73a-dc39aca839bf,WA,2021-2022 Regular Session,SB 5697,Renewing Washington's recycling system and reducing waste., ,https://openstates.org/wa/bills/2021-2022/SB5697,2022-01-07 02:48:55.372866+00:00,Senate,"Mona Das, Christine Rolfes, Patty Kuderer, Liz Lovelett, John Lovick, Joe Nguyen, Jamie Pedersen, Rebecca Saldaña, Derek Stanford","Prefiled for introduction., First reading, referred to Environment, Energy & Technology., Public hearing in the Senate Committee on Environment, Energy & Technology at 10:30 AM., Executive action taken in the Senate Committee on Environment, Energy & Technology at 8:00 AM., ENET - Majority; 1st substitute bill be substituted, do pass., Minority; do not pass., And refer to Ways & Means., Referred to Ways & Means., Scheduled for public hearing in the Senate Committee on Environment, Energy & Technology at 10:30 AM, Scheduled for public hearing in the Senate Committee on Environment, Energy & Technology at 08:00 AM"
ocd-bill/6ea90a9c-14d5-4ed8-baef-00033ba5bf8a,OR,2022 Regular Session,HB 4115,Relating to investment funds; prescribing an effective date., ,https://openstates.org/or/bills/2022R1/HB4115,2022-01-27 18:02:27.513150+00:00,House,"Paul Holvey, Khanh Pham, Jeff Golden, Akasha Lawrence Spence, Teresa Alonso Leon, Wlnsvey Campos, Maxine Dexter, Julie Fahey, David Gomberg, Zach Hudson, Jason Kropf, Courtney Neron, Marty Wilde, Anna Williams, Michael Dembrow, Lew Frederick, Deb Patterson, Floyd Prozanski, Ricki Ruiz, Chris Hoy","First reading. Referred to Speaker's desk., Referred to Revenue., Public Hearing held."
ocd-bill/5f943bb4-8a60-498e-95d0-f04a89ca7e59,HI,2022 Regular Session,SB 3190,RELATING TO FISH HATCHERY EDUCATION., ,https://openstates.org/hi/bills/2022 Regular Session/SB3190,2022-01-25 07:20:05.790635+00:00,Senate,Maile S.L. Shimabukuro,"Introduced., Passed First Reading., Referred to EDU/AEN, WAM., Re-Referred to EDU, WAM., The committee(s) on EDU has scheduled a public hearing on 02-07-22 3:20PM; Conference Room 229 + videoconference."
